id,estado,estacao,data,precipitacao,temp_max,temp_min,insolacao,evaporacao_piche,temp_comp_med,umidade_rel_med,vel_vento_med,altitude
251768,AC,50484,27/01/2016,5.8,34.7,23.7,8.8,,27.84,92.0,1.02888,170.0
251769,AC,50484,28/01/2016,0.0,30.0,23.7,0.2,,26.6,93.0,0.0,170.0
251770,AC,50484,29/01/2016,0.0,35.5,24.1,7.1,,27.78,97.0,0.0,170.0
251771,AC,50484,05/08/2016,,,,,,,,0.0,170.0
251772,AC,88948,28/05/2019,0.0,34.7,21.6,8.3,2.0,26.56,86.75,0.666667,160.0
251773,AC,88948,29/05/2019,0.0,34.5,22.2,8.0,1.5,27.06,88.5,0.0,160.0
251774,AC,88948,30/05/2019,0.0,33.3,22.1,6.8,1.7,26.36,84.75,0.666667,160.0
251775,AC,88948,31/05/2019,0.0,34.3,22.0,9.5,1.8,26.74,85.0,0.333333,160.0
251776,AC,88948,01/06/2019,0.0,33.7,22.9,8.3,1.8,27.24,86.25,0.666667,160.0
251777,AC,88948,02/06/2019,0.0,30.4,22.9,3.2,1.8,25.22,99.75,0.333333,160.0
251778,AC,88948,03/06/2019,56.4,26.8,22.7,0.8,0.5,23.92,92.5,3.333333,160.0
251779,AC,88948,04/06/2019,0.2,28.0,20.8,4.8,1.7,24.04,86.75,3.0,160.0
251780,AC,88948,05/06/2019,0.0,30.5,19.0,8.7,1.8,23.64,84.75,2.0,160.0
251781,AC,88948,06/06/2019,0.0,31.4,19.1,7.8,2.4,24.54,86.25,0.666667,160.0
251782,AC,88948,07/06/2019,0.0,32.3,19.9,6.9,1.5,25.52,88.5,0.333333,160.0
251783,AC,88948,08/06/2019,0.0,30.8,22.1,4.0,1.7,25.58,92.75,0.0,160.0
251784,AC,88948,09/06/2019,7.3,30.2,22.7,1.7,1.2,25.02,94.0,1.0,160.0
251785,AC,88948,10/06/2019,0.4,32.8,21.5,8.3,0.8,25.74,87.0,1.0,160.0
251786,AC,88948,11/06/2019,0.0,33.7,20.8,9.4,1.4,25.6,82.5,1.0,160.0
251787,AC,88948,12/06/2019,0.0,34.3,20.8,9.3,2.0,25.88,83.0,0.333333,160.0
251788,AC,88948,13/06/2019,0.0,33.5,21.2,8.9,2.1,26.3,84.25,0.333333,160.0
251789,AC,88948,14/06/2019,0.0,33.7,22.3,9.5,1.9,26.4,83.25,0.666667,160.0
